LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,LAT_Y_PX,LONG_X_PX,RAD_PX
6.849,-177.828,150.81,5927,556,326
5.777,-169.032,140.15,6201,2808,303
0.194,-164.516,107.36,7630,3964,232
12.252,-173.836,92.49,4543,1578,200
8.619,-175.544,89.22,5474,1141,193
17.932,-169.707,59.65,3089,2635,129
15.438,-178.426,59.5,3728,403,129
21.09,-174.027,59.48,2281,1529,129
29.306,-177.334,58.53,178,682,127
23.684,-176.157,53.26,1617,984,116
26.094,-173.191,52.11,1000,1743,113
25.865,-172.082,51.99,1059,2027,113
4.437,-176.302,51.26,6544,947,111
13.652,-161.71,50.84,4185,4682,110
6.545,-163.247,49.94,6004,4289,108
20.788,-158.522,49.34,2358,5498,107
24.076,-177.354,49.3,1517,677,107
22.023,-168.975,48.93,2042,2822,106
24.93,-176.27,48.61,1298,955,105
26.904,-169.168,47.77,793,2773,104
15.959,-168.293,47.58,3594,2997,103
21.108,-164.516,47.55,2276,3964,103
18.412,-178.802,47.2,2967,307,102
20.75,-162.27,46.79,2368,4539,102
28.599,-176.879,46.76,359,799,101
2.96,-178.496,45.35,6922,385,98
23.937,-172.57,43.93,1552,1902,95
28.416,-178.99,40.67,406,259,88
23.432,-161.454,40.43,1681,4748,88
23.292,-157.677,38.32,1717,5715,83
12.265,-161.26,37.83,4540,4797,82
14.142,-169.235,35.91,4060,2756,78
3.568,-177.739,35.74,6767,579,78
9.389,-175.988,35.13,5276,1027,76
14.742,-169.537,34.71,3906,2679,75
4.806,-178.861,34.58,6450,292,75
13.623,-168.61,34.53,4193,2916,75
10.041,-152.462,34.32,5110,7050,75
23.971,-171.699,34.22,1543,2125,74
4.633,-167.796,34.21,6494,3124,74
0.97,-176.77,33.01,7432,827,72
18.027,-170.733,32.88,3065,2372,71
2.459,-177.492,32.75,7050,642,71
3.444,-177.191,32.68,6798,719,71
23.949,-175.158,32.65,1549,1240,71
5.468,-179.882,32.48,6280,30,71
25.548,-176.278,32.23,1140,953,70
22.014,-166.568,32.0,2044,3439,70
21.622,-164.912,31.87,2145,3863,69
0.085,-171.374,31.5,7658,2208,69
4.684,-174.766,31.16,6481,1340,68
23.289,-163.143,31.1,1718,4315,68
10.578,-174.671,30.7,4972,1364,67
10.614,-167.094,30.4,4963,3304,66
25.848,-173.511,29.63,1063,1661,64
25.253,-173.145,29.12,1215,1755,63
2.71,-176.41,28.86,6986,919,63
7.956,-168.604,28.3,5643,2917,62
21.649,-163.837,28.1,2138,4138,61
23.203,-152.22,27.86,1740,7112,61
26.503,-172.47,27.69,895,1928,60
16.71,-169.98,27.09,3402,2565,59
24.322,-176.445,27.04,1454,910,59
4.722,-166.54,26.91,6471,3446,59
11.277,-156.833,26.72,4793,5931,58
11.822,-175.928,26.4,4654,1042,58
13.307,-168.2,26.19,4273,3021,57
13.169,-177.778,26.13,4309,569,57
28.649,-152.973,26.12,346,6919,57
1.009,-171.912,25.46,7422,2071,55
29.46,-175.85,25.4,138,1062,55
23.522,-172.086,25.32,1658,2026,55
5.23,-175.804,25.32,6341,1074,55
7.403,-153.483,25.12,5785,6788,55
21.556,-169.431,24.79,2162,2706,54
8.387,-170.649,24.64,5533,2394,54
22.936,-166.295,23.7,1808,3508,52
4.715,-163.514,23.34,6473,4220,51
19.898,-165.176,23.29,2586,3795,51
8.351,-154.048,23.18,5542,6644,51
13.691,-159.698,23.0,4175,5197,50
25.162,-176.767,22.73,1239,828,50
7.808,-179.073,22.63,5681,237,49
4.811,-163.052,22.34,6448,4339,49
3.672,-177.966,22.05,6740,521,48
2.225,-174.007,21.76,7110,1534,47
8.41,-178.775,21.63,5527,314,47
5.533,-150.699,21.43,6264,7501,47
12.02,-166.132,20.99,4603,3550,46
29.843,-168.047,20.25,40,3060,44
2.865,-175.02,19.95,6947,1275,44
1.776,-173.253,19.91,7225,1727,43
17.626,-170.984,19.85,3168,2308,43
4.319,-178.26,19.79,6574,445,43
4.856,-165.999,19.37,6437,3584,42
22.495,-162.319,19.35,1921,4526,42
23.449,-161.526,19.34,1677,4729,42
18.496,-165.022,19.25,2945,3834,42
0.476,-155.497,19.24,7558,6273,42
13.007,-169.7,19.19,4350,2637,42
16.8,-171.574,19.07,3379,2157,42
26.02,-172.784,19.05,1019,1847,42
15.783,-162.557,18.6,3640,4465,41
12.468,-178.905,18.56,4488,280,41
1.108,-170.316,18.48,7396,2479,40
17.278,-170.307,18.36,3257,2481,40
14.0,-169.664,18.21,4096,2646,40
19.965,-162.275,17.78,2569,4538,39
7.387,-168.832,17.76,5789,2859,39
5.272,-178.865,17.75,6330,291,39
17.49,-171.655,17.61,3203,2136,39
2.346,-173.507,17.5,7079,1662,38
19.811,-153.11,17.24,2608,6884,38
16.92,-176.12,17.12,3348,993,37
4.812,-163.406,16.77,6448,4248,37
6.714,-168.282,16.18,5961,3000,35
18.097,-179.175,16.12,3047,211,35
7.427,-171.649,15.85,5779,2138,35
23.567,-170.919,15.83,1647,2325,35
6.332,-174.743,15.58,6059,1346,34
0.645,-166.621,15.57,7515,3425,34
22.308,-163.999,15.38,1969,4096,34
25.768,-178.73,15.3,1083,325,34
1.386,-176.557,15.27,7325,881,33
5.009,-156.337,15.17,6398,6058,33
1.976,-174.538,15.06,7174,1398,33
21.58,-175.775,15.04,2156,1082,33
6.881,-174.515,14.92,5918,1404,33
19.212,-163.824,14.76,2762,4141,32
18.614,-168.439,14.72,2915,2960,32
2.562,-176.257,14.59,7024,958,32
4.371,-178.658,14.49,6561,344,32
22.456,-178.025,14.45,1931,506,32
1.74,-155.981,14.42,7235,6149,32
2.762,-172.678,14.22,6973,1874,31
21.745,-153.524,14.2,2113,6778,31
28.469,-173.801,14.2,392,1587,31
12.526,-164.715,13.98,4473,3913,31
17.449,-172.159,13.97,3213,2007,31
6.77,-179.452,13.97,5947,140,31
12.016,-158.869,13.91,4604,5410,31
27.947,-178.789,13.78,526,310,30
